Edition,Reviews,Ratings,Edition_Year,Price
Твердый,4.0,8,2016,220.0
Твердый,3.9,14,2012,202.93
Твердый,4.8,6,1982,299.0
Твердый,4.1,13,2017,180.0
Мягкий,5.0,1,2006,965.62
Твердый,4.5,8,2009,900.0
Твердый,4.4,72,2017,224.0
Мягкий,4.7,16,2018,836.0
Твердый,4.2,111,2015,130.0
Твердый,4.0,1,2013,695.0
Твердый,4.9,132,2017,373.0
Твердый,3.5,17,2018,309.0
Твердый,4.1,4,1999,379.0
Твердый,5.0,3,2002,1066.0
Твердый,3.8,5,2011,381.22
Твердый,5.0,2,2015,287.0
Мягкий,5.0,1,2018,162.0
Твердый,4.9,23,2016,587.0
Другой,4.5,76,1991,291.0
Твердый,4.3,5,2016,352.0
Мягкий,4.9,10,2018,339.0
Твердый,5.0,2,2018,309.0
Твердый,3.1,2,2012,262.0
Твердый,3.1,10,2014,607.0
Твердый,4.8,9,2012,536.0
Мягкий,4.0,1,2011,621.0
Твердый,4.3,15,2016,286.98
Твердый,4.3,34,2014,3779.0
Мягкий,5.0,17,2014,802.0
Твердый,5.0,9,1989,588.26
Твердый,4.0,32,2013,340.0
Твердый,3.9,2,2015,799.0
Твердый,4.4,49,2000,395.1
Твердый,4.2,49,2005,225.0
Мягкий,4.3,10,2016,1780.0
Твердый,4.3,8,2019,309.0
Твердый,4.4,62,2014,559.0
Твердый,3.9,61,2009,224.0
Твердый,5.0,1,2006,565.0
Твердый,4.6,8,2013,511.0
Твердый,5.0,7,2013,144.0
Мягкий,4.7,5,2013,1455.9
Твердый,3.8,18,2008,645.0
Мягкий,4.5,16,2015,427.0
Мягкий,4.6,6,2019,560.0
Твердый,5.0,3,2014,395.1
Твердый,5.0,2,2006,386.0
Твердый,4.1,98,2014,226.0
Твердый,4.8,12,2012,303.0
Твердый,4.8,14,2012,1383.0
Твердый,3.8,3,2017,235.0
Твердый,4.4,97,2016,427.0
Другой,2.0,1,2018,587.0
Другой,4.6,7,2000,262.0
Твердый,5.0,2,2018,769.0
Твердый,5.0,2,2019,180.0
Твердый,4.2,7,2017,199.0
Мягкий,4.1,5,2016,370.0
Твердый,4.7,285,2015,259.0
Твердый,4.1,29,2013,444.25
Твердый,5.0,1,2016,743.0
Мягкий,3.7,27,2016,360.0
Твердый,4.0,4,2004,247.0
Твердый,3.2,267,2018,88.0
Твердый,4.0,24,2014,191.0
Мягкий,4.0,7,1999,138.0
Твердый,4.7,6,2010,503.0
Твердый,5.0,2,2013,220.0
Твердый,4.3,146,2014,325.0
Твердый,5.0,1,2011,573.18
Мягкий,4.0,4,2016,1049.0
Твердый,5.0,1,2016,413.0
Твердый,4.1,95,2018,304.0
Твердый,5.0,1,2016,661.0
Твердый,4.6,234,2016,334.0
Твердый,3.7,35,2015,543.0
Мягкий,5.0,3,2019,721.0
Твердый,4.1,5,2007,1643.0
Твердый,4.4,7,2008,309.0
Мягкий,4.0,2,2018,854.0
Твердый,5.0,4,2015,1799.0
Твердый,4.6,66,2012,437.0
Твердый,5.0,1,2016,409.0
Твердый,4.5,15,2016,239.0
Твердый,4.5,8,2018,374.0
Твердый,3.2,20,2015,199.0
Твердый,4.6,39,2001,345.0
Мягкий,4.2,9,2018,373.0
Твердый,5.0,6,2018,400.0
Мягкий,3.7,3,2019,433.0
Мягкий,4.8,7,2015,1477.0
Твердый,2.6,7,2017,499.0
Твердый,4.9,12,2017,262.0
Твердый,4.1,171,2016,2846.0
Мягкий,5.0,13,2019,150.0
Твердый,4.0,2,1969,350.0
Твердый,3.5,2,2019,434.0
Твердый,4.5,9,2008,423.24
Твердый,5.0,2,2011,449.0
Твердый,3.2,7,2016,510.0
Твердый,4.6,399,2018,93.0
Мягкий,5.0,1,2014,479.0
Твердый,4.0,7,2009,115.0
Твердый,4.5,42,2019,319.0
Мягкий,4.0,2,2016,74.0
Твердый,2.8,2,2017,399.0
Мягкий,5.0,2,2016,3242.0
Твердый,4.2,142,2017,324.35
Твердый,3.4,4,2013,555.0
Твердый,2.9,10,2004,302.0
Твердый,3.9,62,2014,200.0
Твердый,4.1,3,2004,212.0
Твердый,5.0,1,2019,685.0
Другой,5.0,1,2018,427.0
Твердый,4.5,15,2010,1099.0
Твердый,5.0,5,2015,1453.0
Твердый,4.8,6,2016,190.0
Твердый,4.7,11,2001,336.0
Твердый,4.7,20,1993,647.0
Твердый,4.7,4,2016,320.0
Твердый,5.0,1,2009,899.0
Твердый,4.3,839,2014,235.0
Твердый,3.9,47,2015,260.0
Твердый,3.5,5,2018,620.0
Твердый,4.0,1,2016,599.0
Твердый,4.3,3,2015,449.0
Твердый,4.4,18,2013,837.0
Мягкий,5.0,1,2002,1879.0
Твердый,4.3,165,2000,547.0
Твердый,3.7,30,2013,199.0
Твердый,3.3,7,2011,549.0
Другой,4.2,5,2017,1059.0
Твердый,4.2,53,2015,374.0
Твердый,3.7,3,2008,624.0
Твердый,4.0,2,2009,1045.0
Мягкий,5.0,1,2009,1625.0
Твердый,4.5,6,1999,815.0
Твердый,4.3,32,2008,816.0
Твердый,4.5,10,2013,614.0
Твердый,4.6,14,2019,180.0
Твердый,4.8,77,2018,397.0
Твердый,4.3,16,2017,155.0
Твердый,4.0,33,2016,303.0
Твердый,4.5,35,2015,459.0
Твердый,4.2,37,1992,309.0
